,importance_mean
Vol10,0.03862292369656215
RSI14,0.017408834704089292
VIX,0.013555920775589014
Mom100,0.013362173122167097
CreditSpread,0.013070548074054833
Mom20_div_Vol20,0.012474468049937704
Mom50,0.012063201956446112
VolRatio_lag1,0.010486891827965783
Vol100,0.010295348088537692
Vol20,0.009614574798086218
Vol5,0.009478050197289877
VIXchg,0.008900191819228864
Mom10,0.008578262953701465
VIX_per_Ret,0.008258852847024167
Mom20_mul_Vol5,0.008186005618406655
Mom10_lag1,0.007221124200786177
Mom20,0.00683252693694546
VolRatio,0.006082723911758614
Ret,0.005034920230120287
VIXchg_lag1,0.0019076449840886966
VIX_Regime,0.00024010855850657985
Reg_1,0.0
Reg_0,0.0
Reg_2,0.0
TermSpread,-0.014214143303210358
